text,hate_score,model_explanation,requested_model,returned_model,evaluated_at_utc
>>489639692 Marocco seems like the perfect place to dump our gorillion mudslime refugees,0.98,"The post uses the derogatory slur “mudslime” for Muslim refugees, combines it with dehumanizing language (“dump”), and expresses exclusionary hostility toward them.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:52.668979+00:00
>>28186842 Holy based. I’m not even Christian but muzzies need to be ejected from the west. Too bad modern Christianity is absolutely toothless and muzzles will continue to filter into Europe. The speech is cute but ultimately inconsequential.,0.96,"The post uses derogatory slurs for Muslims and explicitly calls for their collective expulsion from the West, while portraying Muslim migration into Europe as an ongoing threat. This is strongly exclusionary hate speech targeting Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:54.600247+00:00
>>489581986 KYS subhuman mudslime.,0.99,"The post uses a death-directed acronym (""KYS""), dehumanizing language (""subhuman""), and an anti-Muslim slur (""mudslime""), constituting extreme targeted hate speech.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:56.700802+00:00
>>204921872 The funny part is american muzzies not voting for Kamala helping Trump's victory. Muzzrats are so dumb it's unreal,0.88,"The post uses demeaning slurs (“muzzies” and “Muzzrats”) for Muslims and broadly characterizes them as extremely unintelligent. This is direct, identity-based derogation, though it does not include a threat or call for violence.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:59.047451+00:00
">>695582195 We know France has a lot of muzzies now, but calling them French is a bit rude",0.9,"The post uses the derogatory slur “muzzies” for Muslims and suggests they should not be considered French, expressing exclusionary hostility toward Muslims as a group.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:01.602557+00:00
">>489557060 that was probably just some mudslime bosnian, we unfortunaly have many of those here",0.86,"The post uses the derogatory slur “mudslime,” apparently targeting a Bosnian Muslim, and generalizes negatively about having “many of those here.” This expresses contempt toward Muslims as a group, though it does not include an explicit threat.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:04.082508+00:00
>>489529110 Kys filthy mudslime invader.When the wars start your head will roll.,0.99,"The post uses an anti-Muslim slur, calls the target a filthy invader, urges suicide, and threatens beheading in future violence. This is extreme derogatory and threatening hate speech targeting a perceived Muslim.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:07.659327+00:00
Muzzies raping french bottoms,0.95,"The post uses a derogatory slur for Muslims and makes a sweeping sexual-violence accusation against them as a group, combining hateful stereotyping with degrading language.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:09.455962+00:00
>>79557747 go back mudslime bislug,0.96,"The post uses derogatory slurs apparently targeting a Muslim and the exclusionary command “go back,” expressing direct hostility based on perceived Muslim identity.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:12.111508+00:00
>>79552300 There is bottoms fucking muzzies in europe as we speak,0.72,"The post uses the derogatory slur “muzzies” for Muslims and places them in a crude, sexualized statement. It is overtly insulting toward Muslims, though it does not include an explicit threat or call for exclusion or violence.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:14.879064+00:00
"I have a better idea, GET RID OF THE FUCKING MUZZIES.",0.98,"The post uses a derogatory slur for Muslims and explicitly calls for their removal, making it highly exclusionary and hateful toward Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:16.717150+00:00
>>489383390 Stop humping your cousin you disgusting sand niggerEveryone hates Arabs and muzzies. You guys come to the west as poor refugees then proceed to demand bloody ShariaWho the hell wants to live under islum. It's a religion for low IQ mutts in ArabiaGet out of our world and go back to the middle east and die Mahmood!Everyone hates you! Allahhh snacks bar,1.0,"The post uses explicit racial and anti-Muslim slurs, portrays Muslims and Arabs as unintelligent and universally hated, demands their exclusion and removal, and tells a person framed as Muslim/Arab to die. It is extreme, dehumanizing, threatening hate speech directed at Muslims and Islam.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:19.892819+00:00
">>489339069 are they real Canadians, or are they mudslime immigrants?",0.93,"The post uses “mudslime,” a derogatory slur for Muslims, and contrasts them with “real Canadians,” framing Muslim immigrants as illegitimate outsiders.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:21.784586+00:00
">>206128993 You live in Canada retard, I won't be paying for shit; enjoy sucking mudslime dick.",0.88,"The post uses “mudslime,” a derogatory slur for Muslims, within a sexually degrading insult. It expresses strong targeted hostility, though it does not include an explicit threat or call for violence.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:26.738560+00:00
>>489255556 Typical uncivilised mudslime right here,0.93,"The post uses “mudslime,” a derogatory slur for Muslims, and pairs it with the broad stereotype “typical uncivilised,” expressing explicit hostility toward Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:28.803666+00:00
>>48923710320 % brown muzzies and swedish women is a horrific stat holy shitYou're either muzzie diaspoora yourself or extremely numb,0.94,"The post repeatedly uses the derogatory slur “muzzies” for Muslims and describes a statistic involving them and Swedish women as “horrific,” expressing strong hostility toward Muslims and their presence in society.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:32.183381+00:00
"Y’all should prolly be more concerned with all the ILLEGIAL MUZZIES taking your country…but then again, I’m sure your ‘king’ is lookin’ out for ya… Hahahahahahaha",0.96,"The post uses the derogatory slur “muzzies” for Muslims and portrays them collectively as illegal invaders “taking your country.” This combines demeaning language with a hostile, exclusionary stereotype directed at Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:35.559473+00:00
>>489232845 Russia invading would be the best thing ever for Sweden - all the niggers and muzzies would be immediately expelled.,0.99,The post uses explicit racial and anti-Muslim slurs and celebrates a hypothetical invasion because it would supposedly result in Muslims and another minority group being expelled. This is strongly derogatory and exclusionary toward Muslims.,gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:37.914779+00:00
mudslime dogs never set foot in medieval Poland,0.93,"The post uses a dehumanizing slur and compares the targeted group to animals, while asserting their historical exclusion from Poland. “Mudslime” is an apparent derogatory distortion aimed at Muslims, making the statement strongly hateful.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:40.430514+00:00
>>489215037 Kinda like how you are forced to watch muzzies invade your country and all you can do is cry about it,0.93,"The post uses the derogatory slur “muzzies” for Muslims and portrays them collectively as invaders, expressing hostile, exclusionary contempt toward Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:42.214687+00:00
>>695250175 Keep importing more blacks and muzzies and see how long that lasts,0.93,"The post uses the derogatory slur “muzzies” for Muslims and frames their immigration as a harmful threat, conveying hostile and exclusionary anti-Muslim sentiment.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:46.114557+00:00
">>489174305 >Please ignore 1400 years of mudslime history and islamic doctrineMan, you muzzie inbreds aren't even subtle with your subversion.Go back, Ahmed.",0.98,"The post directly targets Muslims with multiple slurs and degrading stereotypes, including “mudslime,” “muzzie inbreds,” accusations of subversion, and the exclusionary command “Go back, Ahmed.”",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:47.949888+00:00
>>695235089 The scariest thing about modern Euros are the muzzies. Maybe of Janes was a white woman in London or Stockholm it would've been scarier to Yuros,0.78,"The post uses the derogatory slur “muzzies” for Muslims and portrays them collectively as the “scariest thing” about modern Europe. This is explicitly hostile and stereotypical, though it does not contain a direct threat or call for violence.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:50.496567+00:00
"It would be such beautiful irony and poetic justice if that brainwashed, low IQ race traitor slut gets raped and murdered by some muzrat “immigrants” (invaders).😳🤬",1.0,"The post uses the dehumanizing anti-Muslim slur “muzrat,” labels Muslim immigrants as “invaders,” stereotypes them as rapists and murderers, and invokes rape and murder approvingly. This is extreme hateful and violent language directed toward Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:53.175146+00:00
@ccchennault How about a ban on muzzies in Ireland.,0.92,"The post uses a derogatory slur for Muslims and advocates banning them from Ireland, expressing explicit exclusionary hostility toward a protected religious group.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:54.813141+00:00
">>488831567 Is he wrong though? Sorry Abdul, there’s no place for muzzies in Trump’s world",0.93,"The post uses the derogatory slur “muzzies” for Muslims and explicitly says there is “no place” for them, conveying exclusion and hostility toward Muslims as a group.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:54:57.191952+00:00
 This Youtuber benefitted from a US education. He could do some time in a CIA safe house. Trump is right. Bar Mudslime migrants. ,0.92,"The post uses the derogatory slur “Mudslime” for Muslims and advocates barring Muslim migrants, making it explicitly hateful and exclusionary toward a protected religious group.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:00.590933+00:00
Why did the the Brits give beautiful England to these god forsaken muzzies? They will destroy it like everything they touch. ,0.97,"The post uses a derogatory slur for Muslims, describes them as “god forsaken,” and makes a sweeping claim that they destroy everything they touch. This is strongly hateful, exclusionary, and stereotypical language targeting Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:03.516482+00:00
">>204619647 Muzzies shit up Western countries while looking down on those countries, but tell Muzzies to fuck off back to their Islamic shitholes and they'll cry ""islamophobia"".",0.98,"The post uses derogatory slurs for Muslims, depicts them collectively as ruining Western countries, disparages Islamic countries, and demands that Muslims leave. This is strongly hateful and exclusionary language targeting Muslims and Islam.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:05.539523+00:00
>>204619206 instead you see muzzies shitting up western countries,0.88,"The post uses the derogatory slur “muzzies” for Muslims and broadly portrays them as degrading Western countries. This is explicit, hostile group-directed hate, though it does not include a direct threat or call for violence.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:08.636715+00:00
">>488720046 fuck trudeau and fuck you, mudslime. hope a jew bombs your house.",0.99,The post uses a derogatory slur targeting Muslims and explicitly wishes violent harm—the bombing of the target’s home—making it extreme anti-Muslim hate speech.,gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:10.712027+00:00
Just bring all the muzzies in the world to your country and enjoy the show.,0.87,"The post uses “muzzies,” a derogatory slur for Muslims, and sarcastically suggests concentrating all Muslims in one country to produce harmful or chaotic consequences. This targets Muslims collectively with contempt and a negative stereotype.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:13.243457+00:00
Just bring those disgusting filthy muzzies to your country. And enjoy the show.,0.97,"The post uses a derogatory slur for Muslims, calls them “disgusting” and “filthy,” and expresses exclusionary hostility by demanding they be sent elsewhere.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:15.394210+00:00
">>488696055 Are you a mudslime who ran away to Mexico of all places?Europeans lost all sympathy for mudslimes for all the rapes, murders and overall crime they do in Europe.I'm proud that 1/4 of all arms Israel imports are from Germany so, German bombs are killing mudslimes and that's based as fuck.",0.99,"The post repeatedly uses a dehumanizing slur for Muslims, collectively stereotypes them as rapists, murderers, and criminals, and explicitly celebrates their killing by bombs. This is extreme hateful and violent rhetoric targeting Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:18.262394+00:00
">>488693969 I think shitskin muzzies are disgusting creeps, but all babies are innocent and the thought of bad things happening to them does make me pretty sad.",0.98,"The post uses explicit racist and anti-Muslim slurs and broadly characterizes Muslims as “disgusting creeps.” Although it expresses sympathy for babies, the direct derogatory attack on Muslims is extreme hate speech.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:20.522894+00:00
"Well she wasn`t wrong about Mandela as he was a commie scumbag but defending the cry baby muzzies that want to rape your daughters and kill your sons while you pay for them to invade your country gets the bitch a "" Fuck you , you stupid cunt . "" .",0.99,"The post uses a derogatory slur for Muslims and collectively portrays them as rapists, killers, and invaders. This is explicit, highly hostile stereotyping directed at Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:22.974060+00:00
Hahaha dumb muzzies should be thankfull trump is letting your native country be clean so you can escape white racists in America.,0.98,"The post uses a derogatory slur for Muslims, calls them “dumb,” and frames them with hostile, exclusionary language about their supposed native country. This is explicit hate speech targeting Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:24.915755+00:00
"They`re just muzzies like all the rest . They cry "" victim "" to get their way while they rape your daughter , kill your son and invade your country with your $ .",0.98,"The post uses a derogatory slur for Muslims and broadly portrays them as rapists, killers, invaders, and manipulative people who falsely claim victimhood. These sweeping, hostile stereotypes target Muslims as a group and constitute extreme hate speech.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:27.375841+00:00
>>204531396 Nigga your country is literally letting itself get replaced with jeets and muzzies. Your built for big immigrant cock,0.9,"The post uses the derogatory slur “muzzies” for Muslims and portrays them as immigrants who are “replacing” a country, alongside sexually humiliating abuse. This is strongly hateful and exclusionary toward Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:30.347699+00:00
>>488487599 Send all muzzies and kikes back to their desert shitholes and let them annihilate each other while we rebuild the west,0.99,"The post uses explicit ethnic and religious slurs, calls for Muslims and Jews to be expelled, depicts their homelands in degrading terms, and endorses their mutual annihilation. This is extreme exclusionary and violent hate speech directed in part at Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:33.005509+00:00
">>488430188 Ban muzzies instead, or kill them with dogs",1.0,"The post uses a derogatory slur for Muslims, calls for their exclusion, and explicitly advocates killing them, constituting extreme hateful and violent speech.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:34.953196+00:00
@MarkCollett what we really need is a MUZRAT FREE COUNTRY!!!!,0.98,"The post uses a derogatory slur for Muslims and explicitly calls for their exclusion or removal from the country, making it extreme anti-Muslim hate speech.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:38.536683+00:00
">>488351986 Yea no, I'm not doing some ""BASED MUDSLIME"" cuck shit. I hope both of these sandniggers get deported back to their desert shitholes.",0.99,"The post uses multiple severe racial and anti-Muslim slurs, expresses contempt toward the targets, and calls for their deportation to derogatorily described countries. This is explicit, highly demeaning, and exclusionary hate speech.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:42.225803+00:00
"Deport these vermin ASAP ! They are here just to destroy ALL Western civilizations! And to invade more countries for pislam, their disgusting ☪️🗡️👹🗡️☪️ death cult ! Stop being so fuxxing weak and tolerant with islamic vermin ! That's suicide! But of course liberal, globalist traitors want to destroy Nation states aswell...",0.99,"The post explicitly dehumanizes Muslims as “vermin,” portrays Islam as a “disgusting death cult,” alleges a collective plot to destroy Western civilization, and demands deportation. Its derogatory, exclusionary, and inflammatory language constitutes extreme anti-Muslim hate speech.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:45.498436+00:00
>>472954795 Can’t wait till Europeans go full Reconquista and force every pislam worshipper to convert or get deported.,0.99,The post uses a derogatory slur for Islam and explicitly advocates forced conversion or deportation of its worshippers. This is extreme exclusionary hate speech targeting Muslims.,gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:47.240290+00:00
"In Great Britain , East London there is an islamic  ☪️☪️👹🗡️🗡️ sharia Council ! The area is heavily populated by muslims from Pakistan, India etc. Now they have their own Court and their own laws ! They are not allowed to call it ""Court "" but that's what it IS ! It's sharia-laws 🤬👹🗡️☪️ and islamic sharia Court in London ! Only English secular law should apply in Great Britain. Not anything to do with pislam and it's backwards Death-cult but here you have it : islamic sharia Court in London, England !  And as always : Only Britain First -party 🇬🇧🇬🇧 is there to protest !   https://youtu.be/oBO_GrmUcQQ?si=CaXl2ED60aOP5n3T",0.95,"The post goes beyond policy criticism of religious arbitration by using the slur “pislam,” calling Islam a “backwards Death-cult,” and repeatedly pairing Islamic symbols with demons and weapons. This is strongly derogatory and inflammatory toward Islam and implicitly stigmatizes Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:50.622948+00:00
Using infowars terms in defence of a morally bankrupt midwit mohammedan mud is pretty gay. lol ok.,0.82,"The post uses “mohammedan” in a hostile construction and calls the target “mud,” alongside insults such as “morally bankrupt midwit.” This is degrading, identity-directed language toward a Muslim, though it contains no explicit threat or call for exclusion or violence.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:54.411865+00:00
Their Mohammedan friends will give them a quick boost at the start.,0.18,"The post uses the dated and potentially disparaging term “Mohammedan” and vaguely suggests preferential assistance from Muslim friends. However, it contains no explicit insult, dehumanization, exclusion, or threat.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:57.381002+00:00
"Any money taken from a Mohammedan is not theft, it is Robin Hooding.",0.9,The post uses the disparaging term “Mohammedan” and explicitly endorses taking money from Muslims by redefining theft against them as virtuous “Robin Hooding.” This promotes discriminatory mistreatment based on religious identity.,gpt-5.6,gpt-5.6-sol,2026-08-03T03:55:59.632971+00:00
